"INDICATOR","HFAMDB_87"

"HFAMDB_87","Alcohol abuse (including alcoholic psychosis), number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"CHE","","TOTAL","FEMALE","1999","61"
"CHE","","TOTAL","FEMALE","2000","59"
"CHE","","TOTAL","FEMALE","2001","61"
"CHE","","TOTAL","FEMALE","2002","59"
"CHE","","TOTAL","FEMALE","2003","67"
"CHE","","TOTAL","FEMALE","2004","61"
"CHE","","TOTAL","FEMALE","2005","49"
"CHE","","TOTAL","FEMALE","2006","46"
"CHE","","TOTAL","FEMALE","2007","54"
"CHE","","TOTAL","FEMALE","2008","58"
"CHE","","TOTAL","FEMALE","2009","50"
"CHE","","TOTAL","FEMALE","2010","50"
"CHE","","TOTAL","FEMALE","2011","47"
"CHE","","TOTAL","FEMALE","2012","49"
"CHE","","TOTAL","FEMALE","2013","67"
"CHE","","TOTAL","FEMALE","2015","58"
"CHE","","TOTAL","FEMALE","2016","52"
"CHE","","TOTAL","FEMALE","2017","48"
"CHE","","TOTAL","FEMALE","2018","62"
"CYP","","TOTAL","FEMALE","2004","0"
"CYP","","TOTAL","FEMALE","2005","0"
"CYP","","TOTAL","FEMALE","2006","0"
"CYP","","TOTAL","FEMALE","2007","0"
"CYP","","TOTAL","FEMALE","2008","0"
"CYP","","TOTAL","FEMALE","2009","0"
"CYP","","TOTAL","FEMALE","2010","1"
"CYP","","TOTAL","FEMALE","2011","0"
"CYP","","TOTAL","FEMALE","2012","1"
"CYP","","TOTAL","FEMALE","2013","0"
"CYP","","TOTAL","FEMALE","2015","2"
"CYP","","TOTAL","FEMALE","2018","2"
"CZE","","TOTAL","FEMALE","1986","20"
"CZE","","TOTAL","FEMALE","1987","22"
"CZE","","TOTAL","FEMALE","1988","17"
"CZE","","TOTAL","FEMALE","1989","21"
"CZE","","TOTAL","FEMALE","1990","28"
"CZE","","TOTAL","FEMALE","1991","17"
"CZE","","TOTAL","FEMALE","1992","18"
"CZE","","TOTAL","FEMALE","1993","12"
"CZE","","TOTAL","FEMALE","1994","10"
"CZE","","TOTAL","FEMALE","1995","13"
"CZE","","TOTAL","FEMALE","1996","7"
"CZE","","TOTAL","FEMALE","1997","8"
"CZE","","TOTAL","FEMALE","1998","13"
"CZE","","TOTAL","FEMALE","1999","13"
"CZE","","TOTAL","FEMALE","2000","18"
"CZE","","TOTAL","FEMALE","2001","23"
"CZE","","TOTAL","FEMALE","2002","17"
"CZE","","TOTAL","FEMALE","2003","30"
"CZE","","TOTAL","FEMALE","2004","34"
"CZE","","TOTAL","FEMALE","2005","58"
"CZE","","TOTAL","FEMALE","2006","35"
"CZE","","TOTAL","FEMALE","2007","31"
"CZE","","TOTAL","FEMALE","2008","42"
"CZE","","TOTAL","FEMALE","2009","35"
"CZE","","TOTAL","FEMALE","2010","30"
"CZE","","TOTAL","FEMALE","2011","21"
"CZE","","TOTAL","FEMALE","2012","20"
"CZE","","TOTAL","FEMALE","2013","25"
"CZE","","TOTAL","FEMALE","2014","28"
"CZE","","TOTAL","FEMALE","2015","26"
"CZE","","TOTAL","FEMALE","2016","22"
"CZE","","TOTAL","FEMALE","2017","22"
"CZE","","TOTAL","FEMALE","2018","25"
"CZE","","TOTAL","FEMALE","2019","33"
"CZE","","TOTAL","FEMALE","2020","39"
