word,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
агрессивный,1.2376563063298818e-06,9.870065014183638e-07,8.293347946164431e-07,7.441192906298966e-07,6.297422601164726e-07,5.607535058516078e-07,5.94917764829006e-07,7.174584766289627e-07,8.053841611399548e-07,7.385570484075288e-07,8.510649536219717e-07,9.506427431915654e-07,8.783752605268091e-07,8.693128279446682e-07,9.766926041265833e-07,9.86676013781107e-07,1.021655521071807e-06,1.0549423450356699e-06
агрессия,1.8270164900968666e-06,1.670776100581861e-06,1.5769265928611276e-06,1.4640000927101937e-06,1.2749383131449576e-06,1.230841576216335e-06,1.268560026801424e-06,1.6800916000647703e-06,1.6058797882578801e-06,1.4592907291444135e-06,1.5854326420594589e-06,1.570937115502602e-06,1.4326145674203872e-06,1.5005474551799125e-06,2.4316077542607673e-06,2.182460093536065e-06,2.059233111140202e-06,2.3114102987165097e-06
агрессор,5.380016432354751e-07,3.2702024554964737e-07,3.1903599051474885e-07,3.1509935638496245e-07,3.0830324249109253e-07,2.6256847718286735e-07,2.830094558703422e-07,3.79375507009172e-07,3.067547993396147e-07,2.4841361323524325e-07,3.394829661829135e-07,3.089589029059425e-07,2.533349459099554e-07,3.178015504090581e-07,3.152798342398455e-07,3.1786666454536316e-07,3.794720555561071e-07,3.4872678611463925e-07
ад,6.995705007284414e-06,8.189946129277814e-06,7.032283065200318e-06,8.488292223773897e-06,8.565267307858448e-06,9.420162314199843e-06,1.0077727893076371e-05,9.996673725254368e-06,1.0302562259312253e-05,1.0054623999167234e-05,1.043674365064362e-05,1.0944274436042178e-05,9.290422894991934e-06,9.790690455702133e-06,1.0181513971474487e-05,1.1375365829735529e-05,1.1427505341998767e-05,1.1525507943588309e-05
адов,5.3042413128423505e-08,5.2662997518382326e-08,5.237903977217684e-08,5.817219062009826e-08,8.576857624120748e-08,1.3501156104211987e-07,6.975585620239144e-08,6.839082544729536e-08,1.234351998391503e-07,7.574944049792975e-08,9.194330630180048e-08,8.318124145034744e-08,1.0177647880027507e-07,6.880239311612968e-08,5.784951184750753e-08,8.801598738727989e-08,5.9264866791863824e-08,6.045765843509798e-08
адовый,4.209715243064238e-09,1.2741048216469153e-08,3.174487339663301e-09,9.695365399409184e-09,1.1590348236723003e-08,1.1596084981135846e-08,1.395117088520692e-08,1.0323143229129528e-08,1.3443438362514826e-08,2.1165284636026627e-08,1.5323884383633413e-08,9.506427645078475e-09,1.770025725988944e-08,2.4026233447216327e-08,1.1569902369501506e-08,4.484891125144941e-09,7.960952785879272e-09,7.0095835802419515e-09
адский,3.7803243913003826e-07,4.0856295413504995e-07,3.6030431260769546e-07,4.1770866232582193e-07,4.759769467455044e-07,5.044296926826064e-07,5.291479965308099e-07,5.122859647599398e-07,6.452850129790022e-07,7.151638214963896e-07,5.97631469645421e-07,5.406780587691173e-07,5.918523697800993e-07,5.515112775356101e-07,5.100398539070738e-07,6.912338221809478e-07,5.678812726728211e-07,4.836612674807839e-07
ажиотаж,2.4332155135198263e-07,2.6926082341560686e-07,3.595106932152703e-07,4.896159566669667e-07,5.462917442855542e-07,5.574403871833056e-07,5.381165806284116e-07,4.542183091871266e-07,5.939555194345303e-07,5.514113468052528e-07,5.97631469645421e-07,5.287950557431031e-07,5.763646413470269e-07,6.093926572248165e-07,6.209181151461962e-07,6.250817250474938e-07,6.404143846339139e-07,6.913201673341973e-07
алкашка,1.6838861416346163e-09,1.6988064288625537e-09,0.0,8.079470981137149e-10,3.090759426171985e-09,1.6565835370130344e-09,9.965122060862086e-10,1.290392903641191e-09,3.66639207882713e-09,3.341887211405492e-09,2.3575206231640777e-09,1.1883034556348093e-09,3.2081715062304283e-08,1.3105218243936179e-08,1.4462377961876882e-08,1.5697118271873478e-08,7.960952785879272e-09,1.1390572929315113e-08
алкоголичка,2.104857621532119e-08,2.6331498759191163e-08,2.936400811393014e-08,2.5046359652947103e-08,4.8679460462608404e-08,5.798042224114397e-08,4.384653706779318e-08,5.806768044180899e-08,6.721719358893097e-08,5.792604440557625e-08,5.186545237734208e-08,7.842803029234346e-08,6.969476373797079e-08,7.426289982959133e-08,9.738000983361417e-08,1.5697118271873478e-07,1.3002889431845688e-07,1.051437550358969e-07
алконавт,8.419430708173081e-10,1.6988064288625537e-09,0.0,1.6158941962274298e-09,3.863449116181528e-09,2.484875416541854e-09,1.9930244121724172e-09,3.871178932968178e-09,4.888522919799243e-09,8.911698934355172e-09,1.650264458419315e-08,4.753213822539237e-09,7.743862440179328e-09,7.644710642296104e-09,3.8566341231671686e-09,1.2894061818258251e-08,2.6536508546115556e-09,7.0095835802419515e-09
алогизм,9.6823455919548e-08,1.1127182375503253e-07,1.1745603245572056e-07,1.4623842048422375e-07,1.7308252608927432e-07,1.797393167635164e-07,1.415047279351711e-07,1.6775108235833613e-07,1.6254338675025792e-07,1.4258718294968276e-07,1.6149016346389544e-07,2.2577765435016772e-07,1.6151484771853575e-07,1.9548616592146573e-07,2.2079230177496356e-07,1.1660716836559004e-07,1.9460105704638408e-07,1.8750635888409306e-07
алогический,1.2629145729192714e-08,8.494032144312769e-09,7.142596736287032e-09,9.695365399409184e-09,1.3908417528796235e-08,1.242437619453085e-08,2.192326853389659e-08,1.935589288848405e-08,5.132948999175824e-08,3.787472024896488e-08,3.7720329970625244e-08,1.1883035000437303e-08,2.5444119700068768e-08,2.0749929774410703e-08,1.9283170615835843e-08,1.2894061818258251e-08,1.5037354472724473e-08,1.9276354734643064e-08
алогичность,6.061990376338144e-08,7.984390038018319e-08,6.269612384812717e-08,6.140398056686536e-08,8.267781481663405e-08,8.034430010184224e-08,9.167912651264487e-08,1.238777258549817e-07,1.234351998391503e-07,1.002566136776295e-07,1.1787603426682836e-07,1.4853793572910945e-07,1.3053939085239108e-07,1.4415739713058429e-07,9.834417369347648e-08,8.465232070875572e-08,1.2914433966670913e-07,1.349344813661446e-07
