year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
антиконституционный,4.209715243064238e-09,1.1891645002037876e-08,1.2697949358653204e-08,1.2927153569819438e-08,2.3180696473446005e-08,3.9758006664669665e-08,2.3716989971944713e-07,1.8452618633091333e-07,2.4075976057247317e-07,1.726641727373135e-07,1.862441223465794e-07,1.2596017029409268e-07,1.1947673783652135e-07,1.0811805140065189e-07,1.272689189590892e-07,6.278847308749391e-08,1.0437693021003724e-07,9.725797411874737e-08
антимонопольный,2.525829323474227e-09,1.6988064288625537e-09,1.5872436698316505e-09,7.271523827512283e-09,4.1725250810031866e-08,9.85667227837439e-08,1.3851519042873406e-07,1.4194321806826338e-07,1.234351998391503e-07,1.2810566829557501e-07,3.1119273558033456e-07,2.8756943493135623e-07,2.854166609722597e-07,5.536954859053367e-07,7.404737516480964e-07,1.8331992635012284e-07,3.2197630162045243e-07,3.9428908849004074e-07
антиправительственный,9.261373890012692e-08,8.324151679062197e-08,8.491753789030554e-08,8.887418090353094e-08,5.872442798704469e-08,5.63238415907108e-08,9.06826116420234e-08,5.2906109715422645e-08,1.0999176680570599e-07,8.131925000043339e-08,8.133446272040601e-08,9.031106174006709e-08,7.854489325609393e-08,1.1139435684981436e-07,6.556278009384187e-08,5.325808061229509e-08,8.668592954563792e-08,7.184823402894835e-08
антисанитария,5.1358526320655074e-08,6.880166125711185e-08,5.952163917299913e-08,5.817219062009826e-08,8.190512801320438e-08,6.874821423252797e-08,7.573493121526553e-08,6.193886292749085e-08,9.288193325573957e-08,9.02309551520375e-08,8.840702037105075e-08,7.24865074630543e-08,8.186368916085485e-08,7.644710819931788e-08,8.677426421854761e-08,8.913720961345462e-08,8.668592954563792e-08,1.0076276169002085e-07
антисанитарный,8.419430486128476e-09,1.0192838573175322e-08,1.0317084075950333e-08,1.535099514171634e-08,6.954208764398118e-09,9.111209564593992e-09,3.9860488243448344e-09,1.29039285923227e-08,3.66639207882713e-09,1.2253585701671454e-08,3.536281045768419e-09,4.753213822539237e-09,6.637596250413935e-09,6.552609121968089e-09,8.67742677712613e-09,1.0091005364643024e-08,7.960952785879272e-09,7.0095835802419515e-09
антисемит,1.1955592071899446e-07,1.3165750090138317e-07,1.055517060422062e-07,1.1796027621358007e-07,1.9239976722928986e-07,2.60083623970786e-07,4.235176902511739e-07,4.9034929361369e-07,4.582990129620157e-07,4.6675023668285576e-07,5.316209126249305e-07,4.361073706604657e-07,3.882993837578397e-07,4.1390646288164135e-07,4.7050934881553985e-07,3.5598822023530374e-07,4.21930479888033e-07,4.030510467600834e-07
антисемитизм,7.198613047876279e-07,5.979798629596189e-07,5.245840384304756e-07,7.231126346596284e-07,1.0176324849453522e-06,1.4014697171660373e-06,1.647234626034333e-06,2.2956089651415823e-06,2.098398454108974e-06,2.1265541363391094e-06,2.60388151218649e-06,1.96307723854261e-06,1.8507831782699213e-06,1.994177409869735e-06,2.304338977410225e-06,1.6229699895120575e-06,2.267102445330238e-06,2.4016585484787356e-06
антисемитка,1.2629145729192714e-08,4.247016072156384e-09,3.968109396623731e-09,7.271523827512283e-09,2.163531576115929e-08,2.0707293657551418e-08,1.1958146473034503e-08,1.935589288848405e-08,2.0776221631990666e-08,3.119094671433231e-08,1.5323884383633413e-08,2.2577765435016772e-08,2.1019054941007198e-08,1.8565724957397833e-08,9.641585307917921e-09,1.9621397839841848e-08,2.4767407680315046e-08,1.8400156065467854e-08
антисемитский,3.3677721944513905e-08,7.729569517778145e-08,3.650660573839559e-08,6.786755335497219e-08,7.726898587634423e-08,8.44857623860662e-08,1.0563029206878127e-07,1.922685441968497e-07,1.2954585315583245e-07,1.6598039564996725e-07,1.7327776902220648e-07,1.5685606058468693e-07,1.150516695247461e-07,1.5835472311209742e-07,1.880109152807563e-07,1.379104048737645e-07,1.7160274978778034e-07,2.0853511273344338e-07
антисионистский,6.735544566538465e-09,1.359045143090043e-08,2.380865504747476e-09,1.535099514171634e-08,1.7771867533156183e-08,2.1535585759124842e-08,3.587443941910351e-08,4.9034930782454467e-08,2.19983533611412e-08,1.4481511101394062e-08,1.296636309433552e-08,1.663624793479812e-08,6.637596250413935e-09,1.4197319764264194e-08,1.9283170615835843e-08,6.727336909762016e-09,1.8575555316147074e-08,2.1028750296636645e-08
антракс,2.525829323474227e-09,1.6988064288625537e-09,0.0,4.039735657102028e-09,3.090759426171985e-09,3.313167074026069e-09,9.965122060862086e-10,0.0,6.110653760771356e-09,2.227924733588793e-09,1.1787603115820389e-09,3.564910366904428e-09,1.10626607874309e-09,3.2763045609840447e-09,7.713268246334337e-09,2.018201072928605e-08,8.845502996734922e-09,1.0514375148318322e-08
антропофагия,1.347108913307693e-08,7.644628929881492e-09,5.555352622366172e-09,5.6556297423071555e-09,8.499588588506413e-09,1.1596084981135846e-08,1.2954658679120712e-08,1.4194322162097706e-08,1.466556831530852e-08,2.8963022202788125e-08,1.296636309433552e-08,1.0694731322757889e-08,1.4381458690593263e-08,1.0921015203280149e-08,1.4462377961876882e-08,7.287948022849378e-09,2.1229206836892445e-08,1.1390572929315113e-08
анус,4.462298264229503e-08,7.729569517778145e-08,7.301321147679118e-08,1.308874288952211e-07,6.954208942033802e-08,7.537455104511537e-08,1.215744873661606e-07,8.129475048690438e-08,1.2465733334465767e-07,1.3033360346526024e-07,1.3437868062737834e-07,1.2477185862280749e-07,1.1283913892157216e-07,1.0484174595148943e-07,6.36344594795446e-08,2.1303232244918036e-07,1.9813926144252036e-07,1.71734797049794e-07
апартеид,2.896284172493324e-07,5.121901267557405e-07,4.023662825147767e-07,3.4984108765456767e-07,4.1029832686945156e-07,2.749928569301119e-07,2.750373653270799e-07,1.8581657457161782e-07,1.5643273343357578e-07,1.414732224702675e-07,1.4734503395175125e-07,1.0813561601707988e-07,1.4823964988863736e-07,9.173652415483957e-08,7.424020509461116e-08,9.474332784975559e-08,1.0349238266371685e-07,1.428202693887215e-07
апоплексический,2.9468006701449667e-08,4.077135429270129e-08,1.9840545206761817e-08,6.544371444761055e-08,5.7951737630901334e-08,5.8808716119074234e-08,7.473841634464407e-08,6.710043010116351e-08,7.332784690561311e-08,6.906566341058351e-08,5.893801713341418e-08,7.60514211606278e-08,8.960755337739101e-08,7.972341364848035e-08,9.930833044791143e-08,1.2221327949646366e-07,7.518677591633605e-08,9.550557678039695e-08
апоплексия,1.4313032536961146e-08,1.613866018601584e-08,2.2221410489464688e-08,1.6158942628408113e-08,1.6226486820869468e-08,1.0767792879562421e-08,1.2954658679120712e-08,6.45196429616135e-09,1.9554091679196972e-08,2.227924689179872e-08,1.5323884383633413e-08,4.753213822539237e-09,9.956394819710113e-09,9.828913682952134e-09,1.0605743838709714e-08,2.130323295546077e-08,4.422751498367461e-09,3.5047917901209757e-09
арест,2.9333295969991013e-06,2.8718322937493213e-06,3.1816298360354267e-06,3.7763447835459374e-06,4.885717771685449e-06,5.1503184295143e-06,5.923268417973304e-06,5.809348749608034e-06,6.517623205581913e-06,6.2381891439144965e-06,6.643493179581128e-06,7.085853667376796e-06,7.3079936555586755e-06,7.112857019819785e-06,7.651562555111013e-06,6.3612574194849e-06,7.058711162244435e-06,7.4397967182449065e-06
арестовать,1.734402758302167e-06,1.7548670712130843e-06,2.24833070205932e-06,2.216198936366709e-06,2.6951422569254646e-06,2.867546072593541e-06,3.834578819805756e-06,3.263403641540208e-06,3.5759544516622555e-06,3.5847308481606888e-06,3.3111377888417337e-06,3.531637958076317e-06,3.6429341889743228e-06,3.2544626265007537e-06,3.216432787667145e-06,3.692186510306783e-06,2.9800498850818258e-06,3.3461999464634573e-06
арестовывать,3.3004167221406533e-07,3.431588879720948e-07,4.3093666590721114e-07,4.144768581682001e-07,6.343783525153412e-07,6.92451919803716e-07,8.759342335906695e-07,7.923012503852078e-07,8.554915211789194e-07,8.009389489416208e-07,8.227747230193927e-07,8.686498063070758e-07,8.927567023420124e-07,8.485628768539755e-07,8.937749385040661e-07,9.003418881547987e-07,7.987488856997516e-07,9.05112472082692e-07
