year,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
проводить в последний путь,4.3934246463095405e-08,5.0659089367854904e-08,4.824411803383555e-08,3.266902481868783e-08,4.110994922257305e-08,5.291391147466129e-08,2.9732376560787088e-08,4.678398468627165e-08,3.7702232447145434e-08,4.159128152991798e-08,5.38853655029925e-08,3.28369829105668e-08,5.876314901342994e-08,5.5720171587836376e-08,5.124857338500988e-08,6.938979879578255e-08,5.735129349204726e-08,5.591370566548903e-08
провокация,7.190193969108805e-07,6.667815455330128e-07,7.13466022261855e-07,7.635100018887897e-07,9.98315272227046e-07,1.1562952977328678e-06,1.460886892346025e-06,1.4336264939629473e-06,1.2587946685016504e-06,1.3924529866926605e-06,1.4970255506341346e-06,1.5008272384875454e-06,1.4248706747821416e-06,1.4066267794987652e-06,1.4250263120629825e-06,1.3538765415432863e-06,1.4515469501930056e-06,1.3791355968351127e-06
проволочка,1.3892061190290406e-07,1.3080808969334612e-07,1.444391699578773e-07,1.4058279873552237e-07,1.2594844633895264e-07,1.3583985492005013e-07,1.335326373919088e-07,1.354912484430315e-07,1.4421142680021148e-07,1.39245301511437e-07,1.1433974833607863e-07,1.2477185862280749e-07,1.2722060205305752e-07,1.0265754468719024e-07,1.3498220141627826e-07,1.2501634216732782e-07,9.199322903441498e-08,9.200078210369611e-08
провороваться,0.0,1.6988064288625537e-09,3.968109396623731e-09,1.6158941962274298e-09,4.636139028235675e-09,4.1414587315102835e-09,5.979073236517252e-09,3.871178932968178e-09,6.110653760771356e-09,1.113962344589936e-08,7.072562091536838e-09,7.129820733808856e-09,6.637596250413935e-09,7.644710642296104e-09,4.820792653958961e-09,5.045502682321512e-09,2.6536508546115556e-09,3.5047917901209757e-09
провоцирование,1.2208174382521975e-07,1.1551883716265365e-07,1.476136617384327e-07,8.564239095676385e-08,1.1204002703379956e-07,8.77989307923599e-08,1.0064773192652865e-07,1.3291047196162253e-07,1.637655202557653e-07,1.9605737122674327e-07,1.9803172790489043e-07,2.067647955072971e-07,1.7479004554843414e-07,1.933019717625939e-07,1.860826017718864e-07,1.7322892631455034e-07,2.2556031353815342e-07,2.199256812218664e-07
провоцировать,2.3826989092867734e-07,2.3783289293533016e-07,3.38876532168797e-07,2.908609531004913e-07,3.8016341363800166e-07,3.9261030337911507e-07,5.341305495676352e-07,5.497073516380624e-07,5.768457072008459e-07,6.182490892570058e-07,6.047040415069205e-07,6.440604920499027e-07,6.47165677492012e-07,5.941031986367307e-07,6.421295779546199e-07,8.229775403378881e-07,7.492140525755531e-07,8.069783348219062e-07
прогнивать,0.0,8.494032144312769e-10,0.0,8.079470981137149e-10,7.726898565429963e-10,8.282917685065172e-10,0.0,1.290392903641191e-09,7.33278415765426e-09,3.341887211405492e-09,3.536281045768419e-09,1.1883034556348093e-09,1.10626607874309e-09,0.0,0.0,2.8030568977044368e-09,8.845502663668015e-10,1.7523958950604879e-09
прогнить,3.3677722832692325e-09,6.795225715450215e-09,7.142596736287032e-09,2.423841349852296e-09,7.726898232363055e-09,7.454626249625562e-09,2.989536618258626e-09,5.161571614564764e-09,6.110653760771356e-09,1.7823397868710344e-08,7.072562091536838e-09,3.564910366904428e-09,4.42506431497236e-09,8.736812162624119e-09,7.713268246334337e-09,7.287948022849378e-09,4.422751498367461e-09,6.133385799245161e-09
прогрессирование,2.5510874479550694e-07,2.6331500180276635e-07,2.4681639843038283e-07,2.2218544870611368e-07,1.7076445146813057e-07,1.9382027005576674e-07,2.3716989971944713e-07,1.354912484430315e-07,9.654832666683433e-08,6.572378197233775e-08,5.77592551564976e-08,3.80257105803139e-08,6.969476373797079e-08,6.115768513836883e-08,6.267030272510965e-08,1.2725878661967727e-07,7.607132346265644e-08,9.988656302084564e-08
прогрессировать,1.4228838551844092e-07,1.8007348501214437e-07,1.8491388686925347e-07,1.8501988563457417e-07,1.954905286538633e-07,2.4600265646768094e-07,2.541106027820206e-07,2.232379756605951e-07,2.468703996783006e-07,2.2836228197320452e-07,2.2750073469524068e-07,2.1270632544201362e-07,2.301033390494922e-07,2.3917021962915896e-07,1.889750649297639e-07,2.7357836529517954e-07,2.3794402181920304e-07,2.427068181987124e-07
прогул,8.874080208443047e-07,7.406795816677914e-07,9.023480060932343e-07,5.033510319663037e-07,6.629679205616412e-07,5.160257501302112e-07,3.9960139019967755e-07,2.916287940024631e-07,4.7052031959538e-07,3.2527700000173354e-07,3.9606345580978086e-07,2.697448735489161e-07,4.7458814833589713e-07,3.3418305633858836e-07,3.2010063932830235e-07,3.3132133125945984e-07,3.493973679269402e-07,3.417171967612376e-07
прогуливать,8.419430486128476e-08,8.494032499584137e-08,6.745785441353291e-08,7.917881816865702e-08,8.885933056035356e-08,7.78594255734788e-08,7.075236396758555e-08,5.548689330225898e-08,8.554915353897741e-08,8.688906660836437e-08,5.893801713341418e-08,5.466196029146886e-08,8.960755337739101e-08,9.392073252456612e-08,8.773842807840992e-08,1.28940612853512e-07,1.1852973358372765e-07,8.937219320159784e-08
прогульщик,8.251041805351633e-08,7.389807876734267e-08,9.047288784813645e-08,5.6556295646714716e-08,5.4088289402898226e-08,4.4727755721396534e-08,6.07872436830803e-08,1.935589288848405e-08,3.055326658341073e-08,4.790038232727056e-08,4.950793197622261e-08,2.0201158079657944e-08,2.8762917381186526e-08,1.9657827365904268e-08,4.531545272357107e-08,4.03640214585721e-08,5.041936645966416e-08,4.205750059327329e-08
прогульщица,2.525829323474227e-09,6.795225715450215e-09,7.936218349158253e-10,3.2317883924548596e-09,5.408828940289823e-09,0.0,1.9930244121724172e-09,0.0,1.2221307299498108e-09,1.1139623667943965e-09,4.7150412463281555e-09,3.564910366904428e-09,0.0,2.1842030406560298e-09,9.641585307917921e-10,5.045502682321512e-09,4.422751498367461e-09,6.133385799245161e-09
прогулять,7.577487792786997e-08,7.644629107517176e-08,5.634715094515741e-08,6.867550439437764e-08,7.108747013262473e-08,7.703113169554854e-08,5.680119485873547e-08,9.677946621877709e-08,9.165980685565955e-08,9.580076465454113e-08,8.251322469732258e-08,8.674615514792094e-08,1.073078124136373e-07,1.059338501363527e-07,9.3523375710447e-08,1.435165160046381e-07,9.641598097687165e-08,1.1565813196057206e-07
произвол,4.431988145370269e-06,4.616506430465961e-06,4.700621957454132e-06,5.023006906412775e-06,6.1552473198389634e-06,6.11362156632822e-06,6.260089776333189e-06,6.609392585232854e-06,7.402446044579847e-06,6.887629297125386e-06,7.184544301708229e-06,6.85175791659276e-06,6.996026513661491e-06,6.458688403654378e-06,6.643052074650768e-06,5.85222232984961e-06,6.258193025132641e-06,6.091328032198362e-06
проклинать,3.771905028315814e-07,4.1280995333181636e-07,4.412537464304478e-07,4.710331609203422e-07,5.934257956141664e-07,6.833407155681925e-07,6.497259619209217e-07,7.406855502267717e-07,9.141537589130166e-07,8.432695040028193e-07,7.661942049708159e-07,7.070405558806669e-07,7.04691501596244e-07,6.923923479007499e-07,7.134773341022083e-07,8.795992698651389e-07,7.085247375471226e-07,6.282339199970011e-07
проклясть,1.473400317308915e-07,1.359045143090043e-07,1.4999451991570822e-07,1.6320531415203732e-07,2.1867123223273666e-07,2.252953663628432e-07,2.541106027820206e-07,1.8452618633091333e-07,2.4442613266728586e-07,2.7960456350228924e-07,2.392883402535517e-07,2.5786184210119245e-07,2.4116599206536193e-07,2.271571162282271e-07,2.3911132984721917e-07,2.7918446221519844e-07,2.2644486818990117e-07,2.1554470208684506e-07
проколоться,6.735544566538465e-09,2.5482096432938306e-09,1.5872436698316505e-09,2.423841349852296e-09,8.499588588506413e-09,3.313167074026069e-09,1.2954658679120712e-08,1.0323143229129528e-08,2.4442614598996215e-09,2.0051322380254533e-08,2.4753965988111304e-08,2.49543727903756e-08,3.6506779821365853e-08,3.603934928264607e-08,3.8566341231671686e-08,9.418271673666823e-08,4.511206341817342e-08,4.468609660079892e-08
проливается кровь,2.142594368592654e-08,1.8412288582680958e-08,1.1952779210844255e-08,2.7434248650592963e-08,2.988098657397131e-08,4.060308711473226e-08,5.163030891708331e-08,5.223701293743943e-08,3.6896075528147776e-08,3.2499180235845415e-08,4.339566217481661e-08,4.263523933900615e-08,3.9707003907096805e-08,2.1652072135225353e-08,2.6394577190558266e-08,3.2176078690326904e-08,3.006474358357991e-08,3.720523977790435e-08
пролилась кровь,5.713585338185112e-08,6.084060544253589e-08,7.694601578123184e-08,8.001656226497289e-08,1.0786306603449702e-07,1.2727505804832617e-07,2.17786023881672e-07,2.2717026126883866e-07,2.2829446777450357e-07,1.939467182410226e-07,2.2365456686657126e-07,1.5034531486435299e-07,1.1807608757408161e-07,1.5259554686508636e-07,1.447151021238824e-07,1.3292412859300384e-07,9.938068501469388e-08,1.0417466711487577e-07
пролитие крови,3.967767625567831e-08,4.963312605354986e-08,3.8846533101377645e-08,6.782355654877392e-08,9.838861103617091e-08,9.057611549678768e-08,1.1170921254688437e-07,1.5792585372764734e-07,1.118412313871886e-07,1.3523852260277636e-07,1.168344709867597e-07,1.1668591781699433e-07,1.1494132934330992e-07,1.0722930454676316e-07,9.374625875580023e-08,1.207921513923793e-07,9.938068501469388e-08,1.0996215138447951e-07
пролить кровь,6.90391530611123e-08,7.444968730396795e-08,6.798143203923246e-08,1.1126112298143198e-07,8.891414893241745e-08,1.022885456336553e-07,1.323613361137177e-07,1.1054809334609672e-07,1.1068822658444333e-07,1.6983442208129418e-07,1.513284644261148e-07,1.346375881894346e-07,1.2852530062446021e-07,1.1753981965512139e-07,1.101291005056737e-07,1.318691715823661e-07,1.1107253072850654e-07,1.1905676444712299e-07
пролом,4.4370401042215235e-07,4.136593645398534e-07,3.888746960001299e-07,4.257881300873123e-07,4.937488142786606e-07,4.2325709159740654e-07,5.929247777203273e-07,5.058340093455627e-07,5.695129061678017e-07,5.74804573716392e-07,5.44587237527594e-07,5.002757461625151e-07,5.243701366453024e-07,4.848930643674976e-07,4.714735268862569e-07,8.005530389709747e-07,4.387369187952572e-07,4.6350871230060875e-07
промах,9.404504339727282e-07,9.929523230312043e-07,9.864719459073967e-07,1.0632584235281684e-06,1.0485401844562148e-06,1.0850621947611216e-06,1.010463392958627e-06,1.0878012517423485e-06,1.0974733868351905e-06,1.2766008694597986e-06,1.17876027161401e-06,1.044518739945488e-06,1.096309688364272e-06,1.039680682879407e-06,1.0991407179972157e-06,1.4844989664197783e-06,9.588525244907942e-07,1.0304088391421828e-06
промахиваться,1.5996917568372737e-08,7.644628929881492e-09,5.555352622366172e-09,1.2119206083127665e-08,1.3908417528796235e-08,8.282917463020567e-09,6.97558544260346e-09,5.161571614564764e-09,4.888522919799243e-09,2.3393209147570815e-08,1.5323884383633413e-08,1.5447945145297126e-08,2.212532201895101e-08,3.603934928264607e-08,1.9283170615835843e-08,3.700035122733425e-08,2.0344655737858375e-08,1.4895364941480693e-08
промахнуться,1.7680804376141168e-07,1.766758686017056e-07,1.722159339578866e-07,1.6158942628408113e-07,2.0553549973101326e-07,1.5903202665867866e-07,2.401594372258842e-07,1.9613972312981787e-07,2.1631713309488987e-07,2.8406040541995026e-07,3.1119273558033456e-07,2.47167122324754e-07,2.621850683226512e-07,2.8176219757369836e-07,2.246489430035581e-07,4.5073156229591405e-07,2.733260373588564e-07,2.514688048904645e-07
промедление,4.209715314118512e-07,4.450872950201301e-07,5.579161665991705e-07,5.631391104543582e-07,5.292925493449729e-07,6.468958986260986e-07,6.87593399106845e-07,6.697139269817853e-07,7.039473075565184e-07,6.59465740682208e-07,6.436031299017486e-07,6.393072453647619e-07,5.951711727902875e-07,6.508925025627832e-07,6.045273721611011e-07,7.444918992405292e-07,5.820340902573662e-07,5.581380833064031e-07
промедлить,3.283577854062969e-08,3.227732037203168e-08,4.4442820978929376e-08,2.7470202113022424e-08,3.2452973641738936e-08,3.9758006664669665e-08,3.1888390594758675e-08,2.9679036117613578e-08,4.7663100133377156e-08,6.015396536440676e-08,5.186545237734208e-08,4.5155530870033544e-08,2.8762917381186526e-08,2.948674193703482e-08,2.9888916230902396e-08,5.045502504685828e-08,2.9190159622771716e-08,3.241932233777334e-08
промешкать,5.051658646948454e-09,9.343435358744046e-09,7.142596736287032e-09,5.6556297423071555e-09,9.27227805647135e-09,1.6565835370130344e-09,3.9860488243448344e-09,3.871178932968178e-09,7.33278415765426e-09,7.797736678583078e-09,4.7150412463281555e-09,2.3766069112696186e-09,6.637596250413935e-09,4.3684060813120595e-09,9.641585307917921e-10,6.166725352585445e-09,3.538201065467206e-09,1.7523958950604879e-09
промывание мозгов,3.967767625567831e-08,2.881923499842287e-08,2.4652607066855126e-08,1.6765374866167804e-08,1.8948917102079577e-08,1.6397400770529202e-08,2.2529588861175398e-08,2.9155541980685484e-08,4.496709138379629e-08,4.08860643119624e-08,5.34100443871921e-08,5.385503953903026e-08,3.866208331260168e-08,5.5676753873967755e-08,4.7328207131158706e-08,6.698953569639343e-08,4.092145644563061e-08,5.9528382223561493e-08
промывать мозги,3.967767447932147e-09,0.0,1.494097401355532e-09,1.5241249373687538e-09,5.830436133891226e-09,2.342485760919999e-09,4.693664124033603e-09,1.2148142491952285e-09,8.071016743826931e-09,5.2418029916623254e-09,1.0014383100553914e-08,7.85385978474551e-09,1.1494132756695308e-08,7.217357378408451e-09,7.281262703884295e-09,1.1604487148986209e-08,1.252697678921777e-08,1.0748180123698603e-08
промывка мозгов,9.52264223030852e-09,6.404274444093971e-09,5.976389605422128e-09,3.810312509955338e-09,2.915218066945613e-09,4.684971521839998e-09,1.3142260613108192e-08,1.0933328020712452e-08,1.6142033487653862e-08,1.677376992859081e-08,1.891605805326435e-08,1.570771956949102e-08,1.0449211274021764e-08,1.6496816357403077e-08,1.3652367236716145e-08,2.0571590653162275e-08,2.9229612508174796e-08,2.811062493890404e-08
промыть мозги,3.1742140027546384e-09,4.002671527558732e-09,0.0,0.0,7.288045167364032e-10,2.342485760919999e-09,3.754931476862566e-09,2.429628498390457e-09,4.612009441018472e-09,1.1531966492839274e-08,7.78896502851012e-09,2.243959906778059e-09,4.179684598426547e-09,7.217357378408451e-09,9.101578157810764e-09,1.7406730279390104e-08,9.186449823062048e-09,2.4803492593150622e-09
промышленный выброс,3.1742140027546384e-09,8.005343055117464e-10,8.964584630177796e-09,7.620624686843769e-10,7.288045167364032e-10,1.5616571369392318e-09,3.754931476862566e-09,2.429628498390457e-09,8.071016743826931e-09,2.096721241073851e-09,0.0,0.0,0.0,0.0,3.6406313519421474e-09,2.1099066938035094e-09,0.0,0.0
пропадать,7.375421091637691e-07,6.990588303779077e-07,7.37274660878029e-07,8.68543111209874e-07,8.31414297408628e-07,8.084127784968587e-07,7.772795242999564e-07,6.877793907733576e-07,8.799341344456479e-07,9.31272552406881e-07,8.734613743399677e-07,7.878451810938714e-07,7.622173257004761e-07,7.677473945477686e-07,6.999790684858453e-07,1.255208871953073e-06,8.058252660703147e-07,7.622921884831158e-07
пропажа,1.498658690479715e-07,1.6988064999168273e-07,1.6745420339248085e-07,1.729006839923386e-07,2.0089936469958047e-07,2.0293148850214493e-07,1.7737917801241565e-07,2.1291482710239507e-07,2.749794134615513e-07,2.8628832637878077e-07,2.6522107532400696e-07,2.6617996695676993e-07,2.5554746230227465e-07,2.730253925165016e-07,2.1500734703749913e-07,3.526245677676343e-07,2.7597968710324494e-07,2.5497359956716537e-07
пропесочивать,0.0,3.3976128577251075e-09,6.348974679326602e-09,4.039735657102028e-09,1.1590348236723003e-08,4.969750833083708e-09,1.9930244121724172e-09,0.0,1.2221307299498108e-09,3.341887211405492e-09,4.7150412463281555e-09,4.753213822539237e-09,2.21253215748618e-09,3.2763045609840447e-09,4.820792653958961e-09,5.6061137954088736e-09,3.538201065467206e-09,4.380989793162371e-09
пропесочить,2.9468006701449667e-08,3.482553267986077e-08,3.0951252227851e-08,2.5046359652947103e-08,2.472607540937588e-08,1.9050711230761408e-08,1.5944195297379338e-08,2.193668002803406e-08,1.833196172640328e-08,1.113962344589936e-08,2.239644558699183e-08,2.1389462645515778e-08,1.770025725988944e-08,1.8565724957397833e-08,1.4462377961876882e-08,1.2894061818258251e-08,7.960952785879272e-09,1.2266771598490323e-08
пропивать деньги,0.0,2.4016029165352393e-09,0.0,7.620624686843769e-10,1.4576090334728065e-09,0.0,6.571130306554096e-09,1.2148142491952285e-09,0.0,0.0,0.0,1.1219799533890296e-09,1.0449211496066368e-09,3.093153067013077e-09,2.730473624978913e-09,1.5824299648414808e-09,4.1756589297392566e-09,1.6535661728767082e-09
пропить деньги,7.935535006886596e-10,0.0,0.0,0.0,4.372826989396117e-09,7.808285684696159e-10,0.0,2.429628498390457e-09,0.0,3.145081972633079e-09,1.1127092580665021e-09,4.487919813556118e-09,3.134763559842213e-09,1.0310510223376923e-09,1.8203156759710737e-09,1.5824299648414808e-09,0.0,1.6535661728767082e-09
просадить,8.419430486128476e-09,1.359045143090043e-08,1.5872437586494925e-08,1.2927153569819438e-08,1.4681106996761173e-08,8.282917463020567e-09,1.5944195297379338e-08,1.8065501095065883e-08,2.3220483313934892e-08,1.670943561293825e-08,2.1217685386432095e-08,2.1389462645515778e-08,2.4337854398481795e-08,3.2763047386197286e-08,1.9283170615835843e-08,3.700035122733425e-08,2.2998307258603745e-08,1.4895364941480693e-08
просаживать,0.0,2.5482096432938306e-09,0.0,8.079470981137149e-10,8.499588588506413e-09,4.1414587315102835e-09,2.989536618258626e-09,1.0323143229129528e-08,1.09991766805706e-08,1.113962344589936e-08,1.7681404784752885e-08,1.4259641467617712e-08,1.1062661009475505e-08,1.0921015203280149e-08,6.749109715542545e-09,2.466690141034178e-08,1.4152804261868823e-08,1.4895364941480693e-08
просить денег,4.443899470629731e-08,4.242831863621177e-08,3.287014394004473e-08,6.782355654877392e-08,3.862663788822829e-08,5.075385800523691e-08,6.195637070049997e-08,6.681478481596059e-08,7.725115835910401e-08,9.959425995020865e-08,6.564984289525455e-08,7.517265743217649e-08,1.0240227510394107e-07,1.0826035889976993e-07,9.283609614385568e-08,1.1551739476090006e-07,9.186450000697732e-08,1.0417466711487577e-07
проспать,2.340601668038289e-07,2.845500830517267e-07,2.571334789536195e-07,2.423841181098396e-07,2.8744062774421764e-07,2.37719731899233e-07,2.5610364673411823e-07,2.5291700467278133e-07,2.8964498710593034e-07,3.241630395223183e-07,2.628635513701738e-07,2.626150603646238e-07,2.5665372049843427e-07,2.4899915729292843e-07,2.487529116024234e-07,4.4176178448651626e-07,3.193226518760639e-07,2.698689627322892e-07
просроченный,4.378103923841081e-08,6.030762733644224e-08,7.221958497893866e-08,5.6556295646714716e-08,7.186015693605441e-08,8.53140491585691e-08,9.267563427783898e-08,9.419868263194076e-08,1.0999176680570599e-07,1.002566136776295e-07,9.07645443248839e-08,1.1526543630679953e-07,9.513887988532588e-08,9.719703797372858e-08,9.545169632474426e-08,1.0875861278236698e-07,1.1941428113004804e-07,9.200078210369611e-08
просрочивать,0.0,8.494032144312769e-10,1.5872436698316505e-09,8.079470981137149e-10,0.0,0.0,0.0,0.0,0.0,3.341887211405492e-09,0.0,1.1883034556348093e-09,0.0,1.0921015203280149e-09,1.9283170615835843e-09,2.2424455625724704e-09,1.769100532733603e-09,8.761979475302439e-10
просрочить,1.0945259809602703e-08,8.494032144312769e-09,9.523462018989903e-09,1.1311259484614311e-08,2.0089936825229415e-08,1.3252668296104275e-08,1.1958146473034503e-08,1.935589288848405e-08,2.4442615043085425e-08,2.784905994701603e-08,1.4145124183073676e-08,8.31812396739906e-09,2.212532201895101e-08,7.644710642296104e-09,2.217564620821122e-08,1.4015284932611394e-08,1.0614603418446222e-08,1.1390572929315113e-08
просрочка,1.0271705264131015e-07,1.4185033592184482e-07,6.110887795784947e-08,4.7668880398532565e-08,6.722401479919426e-08,3.89297127867394e-08,7.174887883820702e-08,5.032532257587263e-08,9.532620026675431e-08,1.002566136776295e-07,9.665834710403942e-08,1.4616132659739378e-07,1.3828325506892725e-07,1.70367840723884e-07,2.49717061251431e-07,1.0931922389545434e-07,1.1941428113004804e-07,1.1215333728387122e-07
проституция,1.8438552729094226e-07,1.6648303358124394e-07,2.484036372152332e-07,3.894305109497509e-07,5.802900773232977e-07,7.53745496240299e-07,7.493771931876836e-07,6.477772558355355e-07,6.550620810230612e-07,6.90656690949254e-07,5.917376597608381e-07,7.664557415409945e-07,8.617813023192866e-07,8.529312935934286e-07,7.047999019960116e-07,7.79810420681315e-07,1.021655521071807e-06,8.385214300687949e-07
простой,2.970206696772948e-05,3.1380353902932256e-05,3.0800463719060645e-05,3.0428094760281965e-05,3.121280678897165e-05,3.1243995181284845e-05,3.257498610764742e-05,3.1950126867741346e-05,3.098956949543208e-05,3.027081402251497e-05,3.0296498152893037e-05,2.994049464177806e-05,2.9687756978091784e-05,2.834331098711118e-05,2.767617115750909e-05,3.105338691966608e-05,2.726803177210968e-05,2.669687455636449e-05
прострел,1.254495174407566e-07,1.1551883716265365e-07,1.2618586708867952e-07,1.0503312353193905e-07,1.0044968234979024e-07,1.1844572611607873e-07,1.2456402487259766e-07,1.0839300301768162e-07,1.3810077348352934e-07,1.2476378685732925e-07,1.5795387753314571e-07,9.268767087178276e-08,7.301355964273171e-08,1.1139435684981436e-07,1.031649645710786e-07,1.1100105723471643e-07,6.987946932213163e-08,1.0864854260717038e-07
простреливать,4.462298264229503e-08,4.077135429270129e-08,3.650660573839559e-08,2.423841216625533e-08,2.472607540937588e-08,4.1414587315102835e-08,2.192326853389659e-08,1.8065501095065883e-08,3.9108183358393944e-08,3.230490719374757e-08,4.479289117398366e-08,3.4460800435454075e-08,2.212532201895101e-08,1.9657827365904268e-08,2.9888916230902396e-08,3.700035122733425e-08,4.068931147571675e-08,4.030510680763655e-08
прострелять,2.525829323474227e-09,4.247016072156384e-09,2.380865504747476e-09,8.079470981137149e-10,0.0,1.6565835370130344e-09,0.0,1.290392903641191e-09,3.66639207882713e-09,1.1139623667943965e-09,4.7150412463281555e-09,2.3766069112696186e-09,2.21253215748618e-09,1.0921015203280149e-09,9.641585307917921e-10,3.363668454881008e-09,2.6536508546115556e-09,1.7523958950604879e-09
простуда,2.7447345019027125e-07,2.590679741842905e-07,2.5792709834604466e-07,2.528874460949737e-07,2.673506855899177e-07,3.230337881632295e-07,3.6472346209848183e-07,3.3937334364964045e-07,4.106359199340659e-07,4.6675023668285576e-07,3.61879415322619e-07,3.3272496580138977e-07,3.9604324797437584e-07,3.3090677220570797e-07,3.875917400364415e-07,5.185655140849121e-07,4.139695306548674e-07,4.468609517971345e-07
простудиться,2.391118414379889e-07,2.998393426878465e-07,2.3015033434603538e-07,2.65006661948064e-07,2.5266959369218966e-07,2.725080037180305e-07,2.3019431694137893e-07,2.5033622819137236e-07,2.872007200949156e-07,3.1302343472816574e-07,2.546122175317578e-07,2.2340104521845205e-07,2.5112240109592676e-07,2.5992017071985174e-07,2.4393210651396657e-07,4.3615565914478793e-07,2.8217152703291504e-07,2.3482104438699025e-07
простудный,2.6100234862269645e-08,1.7837468391235234e-08,1.9046924037979807e-08,1.8582783312126594e-08,6.954208764398118e-09,2.8990211120571985e-08,8.968609854775877e-09,9.032750547532942e-09,1.9554091679196972e-08,1.2253585701671454e-08,7.072562091536838e-09,1.0694731322757889e-08,1.6593991958302468e-08,1.3105218243936179e-08,9.641585307917921e-09,1.9621397839841848e-08,1.2383703840157523e-08,1.1390572929315113e-08
простужаться,1.5996917568372737e-08,2.718090286180086e-08,2.4602277548524398e-08,2.423841216625533e-08,2.9362213993522346e-08,2.2363877860698267e-08,2.790234177041384e-08,1.4194322162097706e-08,3.1775400088918104e-08,2.450717140334291e-08,2.0038925185872358e-08,4.99087455807512e-08,3.2081715062304283e-08,3.822355409965894e-08,3.18172297397723e-08,3.5318517888072165e-08,2.8305608523737646e-08,2.8914532990143016e-08
простуживаться,1.4313032536961146e-08,1.0192838573175322e-08,6.348974679326602e-09,1.6158941962274298e-09,4.636139028235675e-09,4.1414587315102835e-09,5.979073236517252e-09,6.45196429616135e-09,1.3443438362514826e-08,1.113962344589936e-08,7.072562091536838e-09,3.564910366904428e-09,1.2168927199240898e-08,1.0921015203280149e-09,3.8566341231671686e-09,1.0091005364643024e-08,2.6536508546115556e-09,2.6285937870795806e-09
просчет,9.17717954962427e-07,8.485538387503766e-07,9.428227372154652e-07,1.0382120763097191e-06,1.0686301266105147e-06,9.525355153527926e-07,9.377179708280892e-07,7.690741767873988e-07,8.872669354786922e-07,8.922838787839282e-07,1.0149126410397002e-06,8.116112439893186e-07,8.009366183614475e-07,7.830367962924356e-07,8.233913604271947e-07,6.89551995947113e-07,7.041020353426575e-07,7.316252776945475e-07
просчитаться,3.5361608752282336e-08,4.247016249792068e-08,4.6030066869207076e-08,6.6251665487016e-08,5.0997531531038476e-08,3.313166985208227e-08,4.6836074574230224e-08,6.322925116819533e-08,4.39967067222824e-08,5.347019538248787e-08,5.4222972778461553e-08,4.2778925291031555e-08,6.969476373797079e-08,4.2591960180971e-08,5.1100400355608144e-08,4.03640214585721e-08,2.1229206836892445e-08,3.1543127221311806e-08
просчитываться,3.3677722832692325e-09,5.945822501018938e-09,3.174487339663301e-09,5.6556297423071555e-09,1.4681106996761173e-08,9.111209564593992e-09,1.7937219709551755e-08,2.580785807282382e-09,1.09991766805706e-08,1.113962344589936e-08,7.072562091536838e-09,1.7824552500655955e-08,1.6593991958302468e-08,7.644710642296104e-09,1.2534060900293298e-08,1.2894061818258251e-08,1.7691005993469844e-08,5.257187574159161e-09
протеже,2.1385353932146245e-07,3.236226291392086e-07,2.47610017822808e-07,2.4400003439950524e-07,3.7166381616771105e-07,3.437410782680672e-07,4.6836072442602017e-07,4.7486457788181724e-07,5.108506684337044e-07,5.124226731823001e-07,5.540173333429266e-07,5.359248689273954e-07,6.062338115953025e-07,6.290504757089366e-07,6.652693969044776e-07,7.943863238324411e-07,6.669508820777992e-07,6.860630037408555e-07
протест,7.088318852765951e-06,7.299771368707297e-06,8.065579095273279e-06,8.036649887799285e-06,9.206599315803032e-06,8.590213838033378e-06,9.194817721436266e-06,8.808221537037753e-06,9.74282647803193e-06,1.0006723641708959e-05,1.0061898137792014e-05,1.0535498404351529e-05,1.0200879842159338e-05,1.0511476830288302e-05,1.0925844435405452e-05,8.430473826592788e-06,9.192246579914354e-06,9.684616088634357e-06
протестный,0.0,0.0,0.0,1.6158941962274298e-09,3.863449116181528e-09,3.313167074026069e-09,5.979073236517252e-09,2.580785807282382e-09,4.888522919799243e-09,8.911698934355172e-09,2.239644558699183e-08,2.1389462645515778e-08,4.425064403790202e-08,1.2340747446160094e-07,1.889750649297639e-07,1.1380411280015323e-07,1.4152804794775875e-07,1.6998239971144358e-07
протестовать,8.798305088930647e-07,8.714877139937016e-07,1.0205976650468074e-06,1.0083180086439825e-06,1.1961238897129078e-06,1.3227819408712094e-06,1.4927752545190742e-06,1.3600740658148425e-06,1.3614536555905943e-06,1.5127609458431834e-06,1.3367141491471557e-06,1.3950682387076085e-06,1.4481023526968784e-06,1.3214428236096865e-06,1.3951373603049433e-06,1.59774242547428e-06,1.2542923286673613e-06,1.3747545608566725e-06
протечка,1.347108913307693e-08,2.0385677146350645e-08,7.142596736287032e-09,6.463576784909719e-09,2.0089936825229415e-08,9.111209564593992e-09,3.1888390594758675e-08,1.29039285923227e-08,1.09991766805706e-08,2.5621133659115003e-08,2.8290248366147352e-08,3.2084194856452086e-08,2.212532201895101e-08,2.8394639528528387e-08,3.567386386293947e-08,2.7469958752135426e-08,2.9190159622771716e-08,3.1543127221311806e-08
